id,category,gender,base_salary,variable_pay,tenure_years,grade,fte,months_worked
E106,Marketing,F,81139.86,6251.29,12.1,5,1,12
E107,Marketing,F,57551.82,4572.51,7.9,2,1,12
E108,Marketing,F,52826.67,6571.4,4.1,1,1,12
E109,Marketing,M,52476.79,6457.49,5.5,2,1,12
E110,Marketing,M,52320.97,5721.44,7,2,1,12
E111,Marketing,F,22504.33,2604.36,8.2,4,1,4
E112,Marketing,M,53216.54,4141.16,4.9,2,1,12
E113,Marketing,M,59381.08,6972.95,5.9,3,1,12
E114,Marketing,M,51422.59,5169.41,2.2,2,1,12
E115,Marketing,F,72725.32,7868.06,5.9,4,1,12
E116,Marketing,M,72811.42,6287.69,11.9,5,1,12
E117,Manufacturing,M,50405.13,3737.48,12.4,3,1,12
E118,Manufacturing,M,22121.94,1652.27,11.3,2,0.5,12
E119,Manufacturing,M,62101.14,4655.57,15.7,4,1,12
E120,Manufacturing,M,54245.4,2824.28,10.6,4,1,12
E121,Manufacturing,F,47307.07,3288.73,8,3,1,12
E122,Manufacturing,M,35984.27,2568.79,3.6,1,1,12
E123,Manufacturing,F,41640.83,2238.97,7.8,3,1,12
E124,Manufacturing,F,37644.41,2014.96,7.4,2,1,12
E125,Manufacturing,F,40999.53,2172.54,5.9,2,1,12
E126,Manufacturing,M,47213.49,2876.03,11.8,2,1,12
E127,Manufacturing,M,59702.38,3078.98,18.5,4,1,12
E128,Manufacturing,F,48326.85,2363.39,7.1,3,1,12
E129,Manufacturing,M,41490.03,2855.69,3.4,2,1,12
E130,Manufacturing,F,39681.14,2140.82,6.8,2,1,12
E131,Manufacturing,M,68666.2,4920.55,18.9,5,1,12
E132,Manufacturing,F,36252.12,2397.75,5.5,1,1,12
E133,Manufacturing,F,18936.79,1280.26,6.2,2,0.5,12
E134,Manufacturing,F,39494.72,1993.88,9.9,1,1,12
E135,Manufacturing,F,51718.72,3705.23,15.1,4,1,12
E136,Manufacturing,F,64061.06,3007.94,14.9,5,1,12
E137,Manufacturing,M,56403.47,3857.45,13,4,1,12
E138,Manufacturing,M,28022.15,1484.37,12.1,4,0.5,12
E139,Manufacturing,F,35623.85,1728.87,8.2,1,1,12
E140,Manufacturing,M,37472.58,2599.36,4.2,2,1,12
E141,Manufacturing,M,57822.2,4173.89,13,4,1,12
E142,Manufacturing,F,32629.81,2205.64,8.1,1,1,12
E143,Manufacturing,F,50948.68,2450.16,11.4,4,1,12
E144,Manufacturing,F,40767.72,3026.18,11.5,2,1,12
E145,Manufacturing,M,68336.15,4906.63,18.4,5,1,12
E146,Manufacturing,F,41746.21,2569.23,15.6,4,0.8,12
E147,Manufacturing,M,43516.39,2448.78,5.5,2,1,12
E148,Manufacturing,M,56331.5,2595.26,18.6,4,1,12
E149,Manufacturing,M,46727.34,2519.04,12.8,2,1,12
E150,Manufacturing,F,35400.67,2201.91,7.8,1,1,12
E151,Manufacturing,M,42504.66,2895.35,4.2,2,1,12
E152,Manufacturing,M,39279.35,2032.34,8.7,1,1,12
E153,Manufacturing,M,58041.49,3461.84,12.4,4,1,12
E154,Manufacturing,F,54250.81,3794.03,9.7,4,1,12
E155,Manufacturing,F,35554.09,1701.95,3.3,2,1,12
E156,Manufacturing,M,46133.28,2226.69,11.8,2,1,12
E157,Customer Support,F,24899.53,1190.49,4.6,1,1,10
E158,Customer Support,M,32195.23,1504.52,5.1,1,1,12
E159,Customer Support,M,29416.5,1460.81,6.1,3,0.75,12
E160,Customer Support,M,48769.2,2353.47,12.6,4,1,12
E161,Customer Support,M,48810.1,2349.72,8.6,4,1,12
E162,Customer Support,F,28505.19,1614.47,4.3,1,1,12
E163,Customer Support,F,20536.6,1026.23,8.9,3,0.5,12
E164,Customer Support,M,10398.18,516.44,1.4,1,1,4
E165,Customer Support,F,32061.13,1476.82,6.2,1,1,12
E166,Customer Support,M,50938.91,2469.56,14,4,1,12
E167,Customer Support,M,36328.21,1604.31,8.9,3,1,10
E168,Customer Support,F,44143.53,1985.05,7.8,4,1,12
E169,Customer Support,F,30996.08,1339.22,5.3,2,1,12
E170,Customer Support,F,16981.95,707.06,3,2,0.5,12
E171,Customer Support,F,23849.53,1059.43,5.4,3,0.6,12
E172,Customer Support,M,44350.12,2704.33,6.9,3,1,12
E173,Customer Support,F,30372.19,1410.95,3.5,1,1,12
E174,Customer Support,F,30009.58,1786.97,6.2,1,1,12
E175,Customer Support,F,29153.92,1736.83,1.5,1,1,12
E176,Customer Support,F,23860.26,1304.29,5.7,1,1,9
E177,Customer Support,M,46145.18,2449.55,9.9,4,1,12
E178,Customer Support,M,37896.58,2025.55,5.2,2,1,12
E179,Customer Support,M,43405.73,2361.25,9.2,3,1,12
E180,Customer Support,M,35045.81,1825,2.7,2,1,12
E181,Customer Support,M,41657.29,1870.49,6.3,3,1,12
E182,Customer Support,M,36329.9,1711.26,7.4,2,1,12
E183,Customer Support,M,34672.81,1870.03,3.7,2,1,12
E184,Customer Support,M,35357.69,2155.23,3.8,2,1,12
E185,Customer Support,M,38844.18,2198.15,7.2,2,1,12
E186,Customer Support,F,35685.33,1981.3,9.7,3,1,12
E187,Sales,F,65665.6,8536.53,4.4,3,1,12
E188,Sales,M,65665.6,17073.06,4.4,3,1,12
E189,Sales,F,58300,7579,4,2,1,12
E190,Sales,M,58300,15158,4,2,1,12
E191,Sales,F,57640,7493.2,3.2,2,1,12
E192,Sales,M,57640,14986.4,3.2,2,1,12
E193,Sales,F,76339.65,9924.15,7.1,4,1,12
E194,Sales,M,76339.65,19848.31,7.1,4,1,12
E195,Sales,F,91063.92,11838.31,11.9,5,1,12
E196,Sales,M,91063.92,23676.62,11.9,5,1,12
E197,Sales,F,63817.6,8296.29,2.4,3,1,12
E198,Sales,M,63817.6,16592.58,2.4,3,1,12
E199,Sales,F,56402.5,7332.33,1.7,2,1,12
E200,Sales,M,56402.5,14664.65,1.7,2,1,12
E201,Sales,F,76546.62,9951.06,7.3,4,1,12
E202,Sales,M,76546.62,19902.12,7.3,4,1,12
E203,Sales,F,99135.65,12887.63,9.7,6,1,12
E204,Sales,M,99135.65,25775.27,9.7,6,1,12
E205,Sales,F,86311.75,11220.53,7.8,5,1,12
E206,Sales,M,86311.75,22441.06,7.8,5,1,12
E207,Sales,F,74166.4,9641.63,5,4,1,12
E208,Sales,M,74166.4,19283.26,5,4,1,12
E209,Sales,F,91063.92,11838.31,11.9,5,1,12
E210,Sales,M,91063.92,23676.62,11.9,5,1,12
E211,Sales,F,65018.8,8452.44,3.7,3,1,12
E212,Sales,M,65018.8,16904.89,3.7,3,1,12
